image_url,journalist_caption
https://i.guim.co.uk/img/media/8a2e2dc18080f5c3589411115ada7cce24138133/0_0_5472_3648/master/5472.jpg?width=880&quality=45&auto=format&fit=max&dpr=2&s=de9dbc711782bf527dba031f79fd1b8a,Palestinians gather to perform Eid al-Adha prayer among the rubble of buildings destroyed by Israeli forces.
https://i.guim.co.uk/img/media/07baa9c6ae4fca67a4e48b62f7a98b911d1184c5/0_0_7500_5000/master/7500.jpg?width=880&quality=45&auto=format&fit=max&dpr=2&s=f7674c57bd243f59644ddbe24f3cbfe4,Children collect food donated by a charity. The Israeli army said this week it would observe a limited daily tactical pause along one of the main roads in the Gaza Strip to allow the delivery of increased quantities of humanitarian aid as UN agencies suspended deliveries from a US-built pier.
https://i.guim.co.uk/img/media/065abc5220db5b7d3122c77331b70b178d777cab/23_78_2215_1329/master/2215.jpg?width=1300&dpr=2&s=none,Merih Demiral displayed the wolf salute after scoring in Turkeys round of 16 match against Austria.
https://i.guim.co.uk/img/media/807899b700262d9c38068432dfa68f9c87019fb9/0_0_4189_2514/master/4189.jpg?width=1140&dpr=2&s=none,Republican presidential candidate former President Donald Trump is surrounded by US Secret Service agents at a campaign rally in Pennsylvania.
https://i.guim.co.uk/img/media/31b55f36051bdcb73f59c2562123eeedc77968a4/0_173_5184_3110/master/5184.jpg?width=620&dpr=2&s=none,A dead black rhino bull poached for its horns less than eight hours earlier at Hluhluwe Umfolozi game reserve in South Africa.
https://i.guim.co.uk/img/media/83510be90735db9f35dcfe951c2c04f49a385b63/0_182_5472_3283/master/5472.jpg?width=620&dpr=2&s=none,Syrian men carry babies through the rebel-held Salihin neighbourhood of Aleppo.
https://i.guim.co.uk/img/media/c5e1a8a81e0b4e8a8b1c1de4bc7e4ead5da1c3eb/0_16_1747_1048/master/1747.jpg?width=620&dpr=2&s=none,Migrants attempt to reach Macedonia from Greece.
https://i.guim.co.uk/img/media/0448dcf151b1436841089af929ae36fb6689ccab/0_0_2852_3624/master/2852.jpg?width=620&dpr=2&s=none,Man shouts We die in Aleppo you die here after shooting dead Russian ambassador to Turkey.
https://i.guim.co.uk/img/media/57b2bf16ccc053281d528cfc3a9e692e55908fa4/0_0_8256_5504/master/8256.jpg?width=880&quality=45&auto=format&fit=max&dpr=2&s=dc3668775793f2e2692fc1278defcaee,A villager watches a wildfire burning near her house at Ribeira de Fráguas. The Portuguese government declared a state of calamity this week as dozens of wildfires burned across northern parts of the country.
https://i.guim.co.uk/img/media/ead1263708307a763d8d7d579e21aa141904822e/0_0_5107_3336/master/5107.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=4d0d6a01092bdf514a28d03f574e383a,A Palestinian woman carrying her child cries in front of a collapsed building as the bodies of Palestinians who died in Israel’s attack on the Bureij refugee camp are brought to the al-Awda hospital for burial.
https://i.guim.co.uk/img/media/f32b70b308eb395df11182e7583897a82052aa8c/0_123_5458_3544/master/5458.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=48455dc7a6f1636ab90cc4b7700fafaf,Ambulances arrive at the American University of Beirut Medical Center as more than 1000 people including Hezbollah fighters and medics were wounded when the pagers they use to communicate exploded across Lebanon. Hezbollah vowed revenge for the unprecedented attack with Israel accused of carrying out the operation by planting explosives inside thousands of pagers imported by the group months earlier.
https://i.guim.co.uk/img/media/a763ba1fe38ea73be0bcefced3756509f078722c/0_0_7008_4672/master/7008.jpg?width=660&quality=45&auto=format&fit=max&dpr=2&s=3a08741ae427819f8552086e3b922ff9,Israeli soldiers evacuate injured people by helicopter after an anti-tank missile was fired into northern Israel from Lebanon. Israel will expand its war goals to include the return of northern residents who were evacuated due to attacks by Iran-backed Hezbollah in Lebanon according to prime minister Benjamin Netanyahu.
